date,zone,ema_bias,opt,atm,strike,strike_type,entry_time,target_pct,sl_param,sl_type,ep,xp,exit_reason,pnl,iv_proxy,prev_body,dte
2022-06-28,s1_to_s2,bear,CE,15750,15750,ATM,09:16:02,0.5,2.0,pct,123.05,164.35,eod,-3097.5,0.78,0.481,2
2022-07-01,pdl_to_s1,bear,CE,15700,15650,ITM1,09:20:02,0.2,2.0,pct,182.5,145.55,target,2771.25,1.162,0.355,6
2022-07-04,tc_to_pdh,bear,PE,15750,15700,OTM1,09:31:02,0.5,25.0,spot,129.8,80.65,spot_sl,3686.25,0.825,0.371,3
2022-07-05,r1_to_r2,bull,PE,15900,15850,OTM1,09:16:02,0.5,1.0,pct,87.9,70.35,lockin_sl,1316.25,0.552,0.587,2
2022-07-08,r2_to_r3,bull,PE,16300,16300,ATM,09:20:02,0.2,1.5,pct,195.0,174.0,eod,1575.0,1.198,0.216,6
2022-07-12,pdl_to_bc,bull,PE,16150,16100,OTM1,09:31:02,0.2,1.5,pct,99.5,79.35,target,1511.25,0.617,0.29,2
2022-07-15,tc_to_pdh,bull,PE,16000,16050,ITM1,09:25:02,0.2,75.0,spot,151.4,121.0,target,2280.0,0.947,0.469,6
2022-07-20,r3_to_r4,bull,PE,16550,16600,ITM1,09:25:02,0.2,0.5,pct,124.5,99.0,target,1912.5,0.752,0.756,1
2022-07-22,r1_to_r2,bull,PE,16650,16600,OTM1,09:16:02,0.5,1.0,pct,102.6,79.1,eod,1762.5,0.616,0.522,6
2022-07-25,pdl_to_bc,bull,PE,16650,16600,OTM1,09:31:02,0.2,1.5,pct,88.05,69.65,target,1380.0,0.528,0.264,3
2022-07-26,tc_to_pdh,bull,PE,16650,16700,ITM1,09:25:02,0.2,75.0,spot,186.6,186.6,spot_sl,0.0,1.122,0.363,2
2022-07-27,pdl_to_bc,bull,PE,16500,16450,OTM1,09:31:02,0.2,1.5,pct,83.45,66.0,target,1308.75,0.506,1.012,1
2022-07-29,r1_to_r2,bull,PE,17050,17000,OTM1,09:16:02,0.5,1.0,pct,94.9,54.8,eod,3007.5,0.556,0.87,6
2022-08-01,r1_to_r2,bull,PE,17250,17200,OTM1,09:16:02,0.5,1.0,pct,102.65,50.8,target,3888.75,0.595,0.544,3
2022-08-02,within_cpr,bull,PE,17300,17300,ATM,09:20:02,0.3,2.0,pct,103.85,72.6,target,2343.75,0.6,0.509,2
2022-08-05,tc_to_pdh,bull,PE,17400,17450,ITM1,09:25:02,0.2,75.0,spot,161.15,128.0,target,2486.25,0.925,0.612,6
2022-08-08,tc_to_pdh,bull,PE,17400,17450,ITM1,09:25:02,0.2,75.0,spot,164.4,131.15,target,2493.75,0.945,0.156,3
2022-08-12,pdl_to_bc,bull,PE,17650,17600,OTM1,09:31:02,0.2,1.5,pct,113.8,90.3,target,1762.5,0.645,0.433,6
2022-08-26,tc_to_pdh,bull,PE,17650,17700,ITM1,09:25:02,0.2,75.0,spot,139.4,224.35,spot_sl,-6371.25,0.791,0.92,6
