date,break_name,opt,strike_type,entry_time,ep,xp,exit_reason,pnl,iv_proxy,dte,spot_entry,break_level,prev_body
2024-07-05,S2,CE,OTM1,09:50:02,120.15,183.2,eod,-4728.75,0.725,6,24202.4,24209.18,0.269
2024-07-26,R2,PE,ITM1,10:05:02,173.65,86.75,target,6517.5,0.706,6,24581.35,24563.93,0.739
2024-09-06,PDL,CE,ATM,09:40:02,130.8,90.2,target,3045.0,0.631,6,25081.7,25128.25,0.498
2024-09-24,R1,PE,ATM,09:55:02,104.5,82.8,target,1627.5,0.496,2,25970.15,25966.16,1.131
2024-10-16,TC,PE,OTM1,09:55:02,67.45,101.5,hard_sl,-2553.75,0.48,1,25079.05,25080.4,0.489
2024-11-05,TC,PE,OTM1,10:30:02,140.35,211.85,hard_sl,-5362.5,0.77,2,24024.85,24013.04,1.275
2024-11-08,PDL,CE,ATM,09:40:02,185.75,153.2,eod,2441.25,0.883,6,24147.45,24180.05,1.222
2024-11-11,TC,PE,OTM1,09:45:02,113.9,90.5,target,1755.0,0.672,3,24145.6,24130.73,0.395
2024-11-29,TC,PE,OTM1,09:50:02,152.8,121.2,target,2370.0,0.816,6,24045.65,24009.71,1.315
2024-12-03,R1,PE,ATM,10:30:02,135.15,107.55,target,2070.0,0.646,2,24399.0,24382.94,0.529
2024-12-17,S1,CE,ITM1,09:40:02,191.35,133.8,target,4316.25,0.779,2,24562.15,24576.36,0.443
2024-12-30,S1,CE,ITM1,10:00:02,152.5,136.75,eod,1181.25,0.642,3,23740.7,23776.8,0.106
2025-01-07,TC,PE,OTM1,10:15:02,107.9,120.9,eod,-975.0,0.634,2,23758.0,23692.28,1.731
2025-01-10,S2,CE,OTM1,10:00:02,195.3,196.65,eod,-101.25,1.08,6,23370.6,23401.47,0.535
2025-02-11,PDL,CE,ATM,09:50:02,142.45,98.7,target,3281.25,0.731,2,23306.55,23317.5,0.724
2025-02-12,S1,CE,ITM1,09:45:02,155.2,108.15,target,3528.75,0.677,1,22911.85,22911.96,1.297
2025-02-17,PDL,CE,ATM,09:55:02,195.95,302.9,eod,-8021.25,0.985,3,22745.1,22775.5,0.863
2025-02-19,TC,PE,OTM1,09:50:02,73.35,58.15,target,1140.0,0.515,1,22956.45,22913.65,0.228
2025-02-21,S1,CE,ITM1,09:50:02,197.95,138.1,target,4488.75,0.867,6,22826.65,22839.05,0.334
2025-03-10,R1,PE,ATM,09:45:02,127.05,191.5,hard_sl,-4833.75,0.671,3,22657.5,22625.2,0.129
2025-03-17,R1,PE,ATM,10:25:02,101.9,99.85,eod,153.75,0.554,3,22503.65,22500.9,0.706
2025-03-25,R1,PE,ATM,09:40:02,133.8,106.3,target,2062.5,0.672,2,23786.85,23776.75,0.792
2025-04-01,PDL,CE,ATM,10:25:02,135.1,94.15,target,3071.25,0.715,2,23370.9,23451.6,0.468
2025-04-21,R1,PE,ATM,10:05:02,152.5,121.9,target,2295.0,0.744,3,24050.8,24041.21,1.937
2025-05-09,S1,CE,ITM1,09:50:02,287.2,234.0,eod,3990.0,1.194,6,24052.3,24054.59,1.135
2025-06-04,TC,PE,OTM1,10:25:02,67.65,52.6,target,1128.75,0.503,1,24595.65,24582.91,0.952
2025-08-04,TC,PE,OTM1,09:50:02,96.7,77.3,target,1455.0,0.568,3,24611.8,24600.44,0.669
2025-08-11,TC,PE,OTM1,09:55:02,86.25,68.95,target,1297.5,0.538,3,24396.15,24387.82,0.834
2025-08-29,PDL,CE,ATM,10:05:02,134.85,94.2,target,3048.75,0.682,4,24474.55,24482.25,0.573
2025-10-01,TC,PE,OTM1,10:10:02,79.55,63.55,target,1200.0,0.496,6,24648.95,24644.52,0.252
2025-12-04,TC,PE,OTM1,10:30:02,84.55,128.0,hard_sl,-3258.75,0.503,5,26078.35,26064.05,0.147
2025-12-18,PDL,CE,ATM,09:45:02,120.5,151.6,eod,-2332.5,0.583,5,25743.5,25770.8,0.267
2026-01-09,PDL,CE,ATM,10:15:02,120.1,82.85,target,2793.75,0.591,4,25858.6,25858.75,0.901
2026-01-12,S1,CE,ITM1,09:45:02,136.45,95.1,target,3101.25,0.534,1,25557.1,25571.61,0.62
2026-01-14,TC,PE,OTM1,09:55:02,101.3,80.4,target,1567.5,0.569,6,25742.1,25727.26,0.65
2026-02-19,TC,PE,OTM1,09:50:02,88.7,133.05,hard_sl,-3326.25,0.516,5,25809.0,25781.69,0.192
2026-02-27,S2,CE,OTM1,10:20:02,93.1,55.8,target,2797.5,0.579,3,25302.45,25318.42,0.228
2026-03-16,PDL,CE,ATM,10:20:02,179.7,125.4,target,4072.5,0.9,1,23097.8,23113.3,1.288
2026-04-20,TC,PE,OTM1,09:55:02,127.05,101.6,target,1908.75,0.731,1,24337.5,24326.79,0.813
